common vocabulary size  ,distance_between_users,user1,user2
767,0.735087994,1497561,5812180
763,0.735089644,1497561,14080464
762,0.735116085,787615,1731373
760,0.735157541,876454,1568320
764,0.735165796,902933,1580268
766,0.735195764,257024,902933
759,0.735271371,133226,902933
756,0.735274461,90175,454303
742,0.735312143,177831,1218609
763,0.735352658,170212,285606
764,0.735380922,177831,1851043
760,0.735413039,8478404,25362190
757,0.735493605,144230,1568320
758,0.735516727,902933,4783913
758,0.735518367,1580268,21393536
769,0.735543606,10733167,26281817
762,0.73555432,177831,453751
761,0.735577491,108019,238543
755,0.735597402,2859500,20440192
768,0.735616375,1030683,1184397
753,0.735654493,238543,1272651
750,0.735729156,25362190,58589487
741,0.735815114,799305,25362190
758,0.735821235,1218609,24131668
746,0.735833867,1793390,25362190
768,0.735880782,454303,1160611
757,0.735895604,285606,1339206
767,0.73591219,2535732,7782049
765,0.735918269,1030683,1711318
755,0.735968067,90175,2535732
767,0.735970215,158337,390025
751,0.735973616,208354,1140297
759,0.735984836,3761568,21393536
746,0.736045465,787615,876454
756,0.736057024,10124982,15161948
755,0.73608324,351219,1339206
767,0.73611159,770063,2193077
771,0.736123779,1240511,1531518
760,0.736142511,2483880,15110667
780,0.736143392,2898520,5291991
754,0.736145176,82917,1184397
755,0.736150947,1339206,14144479
774,0.736250267,1272651,1849426
759,0.736281375,144230,9114042
762,0.736294741,1184397,1731373
740,0.736301373,90175,238543
752,0.73630953,360832,1140297
756,0.736310275,534017,20440192
747,0.736311753,172656,902933
767,0.736332247,2483880,14080464
751,0.73634393,24131668,25362190
777,0.736399762,3223254,5291991
755,0.736461935,681758,1711318
755,0.73646804,352610,1140297
771,0.736489813,1030683,1497561
752,0.736493293,724166,876454
755,0.736517219,352610,876021
761,0.736534016,902933,7782049
752,0.736548273,81109,144230
770,0.736661745,170212,1160611
760,0.736671853,90175,1849426
759,0.736688571,799305,1667307
760,0.736715184,9663,1711318
752,0.736719062,876454,1184397
752,0.73672664,308075,14415072
758,0.73673928,748856,21393536
769,0.73675001,177831,1831746
773,0.736767089,770063,15161948
764,0.736804225,863508,25362190
754,0.736850113,177831,20645879
761,0.73689618,902933,2910379
757,0.736910972,82917,90175
738,0.736928252,90175,951968
773,0.73699102,14080464,15161948
769,0.736992741,1083527,1497561
749,0.7370262,227353,724166
759,0.7370481,1711318,20174125
766,0.737063121,14080464,20645879
759,0.737086104,2483880,21393536
754,0.737145023,676300,25362190
755,0.737149668,177831,2328351
757,0.737192735,1435717,25362190
767,0.737375676,1531518,16927896
758,0.737378263,2094131,25362190
763,0.737396197,1531518,2193077
747,0.737397893,1218609,1367483
765,0.737437119,1731373,14415072
763,0.737464749,1531518,23930092
766,0.737491806,534017,14080464
745,0.737524959,8183133,20440192
750,0.737545447,787615,2570699
767,0.73755357,534017,15161948
758,0.737585286,2198340,25362190
767,0.737612904,1497561,1580268
757,0.737631766,17141012,21293231
766,0.737648605,133226,188019
763,0.737656512,4733911,25362190
768,0.737680923,8183133,16927896
764,0.737713485,902933,1240511
761,0.737743787,2535732,20440192
771,0.737744374,14080464,19378289
764,0.737756938,687678,8478404
767,0.737770072,1272651,23930092
758,0.737780766,285606,352610
781,0.737801474,449021,937743
760,0.737821206,90175,2910379
761,0.73785009,4783913,15110667
751,0.737870786,747081,787615
761,0.737882567,21393536,54203621
748,0.737888079,227353,902933
764,0.737998987,1711318,2910379
765,0.738065227,177831,770063
756,0.738074725,1272651,25362190
764,0.738076698,1272651,2570699
765,0.738179943,1531518,1711318
767,0.738204526,257024,1339206
756,0.738249523,285606,454303
749,0.738280007,15884207,25362190
758,0.738367786,208354,24131668
758,0.738463326,687678,19378289
771,0.738491268,5875196,7782049
770,0.73849351,188019,2535732
767,0.738517472,271979,21393536
759,0.738532919,453751,8183133
754,0.738566902,177831,787615
755,0.738669273,687678,8183133
752,0.738702483,10124982,15110667
775,0.738712853,507200,8183133
756,0.738718799,4861019,21393536
755,0.738768597,1140297,14144479
755,0.738804933,90175,1497561
755,0.738840344,6845307,25362190
757,0.738849481,133226,170212
762,0.738852537,119012,1711318
767,0.738869454,534017,7782049
751,0.738874965,16400180,25362190
756,0.738879383,390025,8183133
750,0.738892118,1032287,1184397
775,0.739005888,1531518,14080464
772,0.739033383,2256899,8183133
759,0.739041353,631791,25362190
756,0.739042481,901472,1497561
756,0.739068373,238543,1568320
742,0.739089795,1940900,25362190
772,0.739135978,2193077,4294732
747,0.739171752,724166,1940900
